title,genre,director,year,duration,gross,budget,cast_facebook_likes,votes,reviews,rating
How Do You Know,Comedy,James L. Brooks,2010,121,30212620,120000000,993,35066,364,5.3
The Spy Next Door,Action,Brian Levant,2010,94,24268828,28000000,3436,29971,168,5.4
Killers,Action,Robert Luketic,2010,100,47000485,75000000,25206,72867,260,5.4
The Tempest,Comedy,Julie Taymor,2010,110,263365,20000000,3785,6147,128,5.4
Stone,Drama,John Curran,2010,105,1796024,22000000,37766,34985,273,5.4
MacGruber,Action,Jorma Taccone,2010,95,8460995,10000000,2618,35888,288,5.5
The Bounty Hunter,Action,Andy Tennant,2010,110,67061228,40000000,21554,96565,296,5.5
Piranha 3D,Comedy,Alexandre Aja,2010,88,25003072,24000000,5737,72552,739,5.5
Little Fockers,Comedy,Paul Weitz,2010,98,148383780,100000000,24082,85531,332,5.5
Cop Out,Action,Kevin Smith,2010,107,44867349,37000000,14483,75347,379,5.6
Don't Be Afraid of the Dark,Fantasy,Troy Nixey,2010,99,24042490,25000000,3744,40776,548,5.6
The 5th Quarter,Biography,Rick Bieber,2010,90,399611,6000000,2370,1245,45,5.7
Love Ranch,Comedy,Taylor Hackford,2010,117,134904,25000000,3204,2395,66,5.7
Valentine's Day,Comedy,Garry Marshall,2010,125,110476776,52000000,45696,95437,397,5.7
Eat Pray Love,Drama,Ryan Murphy,2010,140,80574010,60000000,20440,63493,515,5.7
Paranormal Activity 2,Horror,Tod Williams,2010,98,84749884,3000000,1081,82133,623,5.7
Clash of the Titans,Action,Louis Leterrier,2010,106,163192114,125000000,18003,229679,981,5.8
Clash of the Titans,Action,Louis Leterrier,2010,106,163192114,125000000,18003,229687,981,5.8
You Again,Comedy,Andy Fickman,2010,105,25677801,20000000,4813,41273,227,5.8
The Last Song,Drama,Julie Anne Robinson,2010,107,62933793,20000000,2341,62421,308,5.8
The Wolfman,Drama,Joe Johnston,2010,119,61937495,150000000,13071,89442,789,5.8
The Extra Man,Comedy,Shari Springer Berman,2010,108,453079,7000000,2029,4124,133,5.9
The Tourist,Action,Florian Henckel von Donnersmarck,2010,103,67631157,100000000,55175,176598,695,6
The Tourist,Action,Florian Henckel von Donnersmarck,2010,103,67631157,100000000,55175,176606,695,6
Ca$h,Comedy,Stephen Milburn Anderson,2010,118,46451,7000000,27756,7663,65,6
Grown Ups,Comedy,Dennis Dugan,2010,102,162001186,80000000,28497,181443,490,6
The Sorcerer's Apprentice,Action,Jon Turteltaub,2010,109,63143812,150000000,13388,124185,473,6.1
The Switch,Comedy,Josh Gordon,2010,101,27758465,19000000,1292,77987,301,6.1
The Killer Inside Me,Crime,Michael Winterbottom,2010,109,214966,13000000,1813,28483,401,6.1
Takers,Action,John Luessenhop,2010,107,57744720,20000000,31529,46961,251,6.2
Diary of a Wimpy Kid,Comedy,Thor Freudenthal,2010,94,64001297,15000000,20154,32002,214,6.2
Step Up 3D,Drama,Jon M. Chu,2010,107,42385520,30000000,4059,47297,224,6.2
Repo Men,Action,Miguel Sapochnik,2010,119,13763130,32000000,2925,87768,384,6.3
Knight and Day,Action,James Mangold,2010,117,76418654,117000000,12731,148280,631,6.3
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,Michael Apted,2010,113,104383624,155000000,764,106446,455,6.3
Tiny Furniture,Comedy,Lena Dunham,2010,98,389804,65000,2530,11816,148,6.3
Cyrus,Comedy,Jay Duplass,2010,91,7455447,7000000,1136,29967,349,6.3
Somewhere,Comedy,Sofia Coppola,2010,97,1768416,7000000,684,35848,499,6.3
You Will Meet a Tall Dark Stranger,Comedy,Woody Allen,2010,98,3247816,22000000,19310,36145,331,6.3
Going the Distance,Comedy,Nanette Burstein,2010,102,17797316,32000000,2961,50523,280,6.3
Date Night,Comedy,Shawn Levy,2010,101,98711404,55000000,39822,127571,454,6.3
The American,Crime,Anton Corbijn,2010,105,35596227,20000000,1454,79461,796,6.3
Letters to God,Drama,David Nixon,2010,110,2848578,3500000,1567,3942,84,6.3
Wall Street: Money Never Sleeps,Drama,Oliver Stone,2010,136,52474616,70000000,1579,84118,542,6.3
I Spit on Your Grave,Horror,Steven R. Monroe,2010,105,92401,2000000,2423,56402,434,6.3
Devil,Horror,John Erick Dowdle,2010,80,33583175,10000000,5628,104089,592,6.3
The Losers,Action,Sylvain White,2010,97,23527955,25000000,12841,74691,378,6.4
Predators,Action,Nimrod Antal,2010,107,52000688,40000000,4243,171418,970,6.4
Salt,Action,Phillip Noyce,2010,101,118311368,110000000,12406,245621,844,6.4
Shrek Forever After,Adventure,Mike Mitchell,2010,93,238371987,165000000,4628,138661,399,6.4
Everything Must Go,Comedy,Dan Rush,2010,97,2711210,5000000,10517,40305,241,6.4
Leap Year,Comedy,Anand Tucker,2010,100,12561,19000000,4094,71276,315,6.4
She's Out of My League,Comedy,Jim Field Smith,2010,104,31584722,20000000,5707,101730,311,6.4
Hot Tub Time Machine,Comedy,Steve Pink,2010,101,50213619,36000000,1272,139184,508,6.4
Burlesque,Drama,Steve Antin,2010,119,39440655,55000000,4315,61680,419,6.4
Faster,Action,George Tillman Jr.,2010,98,23225911,24000000,14699,80574,353,6.5
The Expendables,Action,Sylvester Stallone,2010,113,102981571,80000000,46355,270226,1165,6.5
Alice in Wonderland,Adventure,Tim Burton,2010,108,334185206,200000000,79957,306320,1187,6.5
Alice in Wonderland,Adventure,Tim Burton,2010,108,334185206,200000000,79957,306336,1187,6.5
Letters to Juliet,Comedy,Gary Winick,2010,105,53021560,30000000,1026,74630,315,6.5
Morning Glory,Comedy,Roger Michell,2010,107,30993544,40000000,621,58871,368,6.5
Stake Land,Drama,Jim Mickle,2010,98,18469,650000,1038,34263,356,6.5
Extraordinary Measures,Drama,Tom Vaughan,2010,106,11854694,31000000,17560,14281,190,6.5
Charlie St. Cloud,Drama,Burr Steers,2010,99,31136950,44000000,1066,47364,192,6.5
Hereafter,Drama,Clint Eastwood,2010,129,32741596,50000000,14344,80140,638,6.5
The Crazies,Horror,Breck Eisner,2010,101,39103378,20000000,2609,93272,559,6.5
Prince of Persia: The Sands of Time,Action,Mike Newell,2010,116,90755643,200000000,16149,222403,759,6.6
The Runaways,Biography,Floria Sigismondi,2010,106,3571735,10000000,21711,39260,388,6.6
Due Date,Comedy,Todd Phillips,2010,95,100448498,65000000,23018,272789,592,6.6
Machete,Action,Ethan Maniquis,2010,105,26589953,10500000,26233,165792,783,6.7
The Other Guys,Action,Adam McKay,2010,116,119219978,100000000,20233,189806,581,6.7
Robin Hood,Action,Ridley Scott,2010,156,105219735,200000000,3244,211765,889,6.7
Ramona and Beezus,Adventure,Elizabeth Allen Rosenbaum,2010,103,26161406,15000000,1002,13874,133,6.7
Love & Other Drugs,Comedy,Edward Zwick,2010,112,32357532,30000000,31278,143368,434,6.7
Unstoppable,Action,Tony Scott,2010,98,81557479,100000000,25780,149947,642,6.8
TRON: Legacy,Action,Joseph Kosinski,2010,125,172051787,170000000,25549,264186,1134,6.8
TRON: Legacy,Action,Joseph Kosinski,2010,125,172051787,170000000,25550,264183,1134,6.8
Fair Game,Biography,Doug Liman,2010,108,9528092,22000000,10191,38513,341,6.8
The Perfect Host,Comedy,Nick Tomnay,2010,93,48430,500000,1452,20176,185,6.8
Super,Comedy,James Gunn,2010,96,322157,2500000,4590,61787,441,6.8
Insidious,Fantasy,James Wan,2010,103,53991137,1500000,3030,202800,1197,6.8
The Book of Eli,Action,Albert Hughes,2010,118,94822707,80000000,44797,227072,885,6.9
The Debt,Drama,John Madden,2010,113,31146570,20000000,1136,55441,423,6.9
Legend of the Guardians: The Owls of Ga'Hoole,Action,Zack Snyder,2010,101,55673333,80000000,4286,65785,348,7
Iron Man 2,Action,Jon Favreau,2010,124,312057433,200000000,48638,522371,1176,7
Trust,Crime,David Schwimmer,2010,106,58214,9500000,916,34224,246,7
The Conspirator,Crime,Robert Redford,2010,122,11538204,25000000,21163,23696,334,7
Rabbit Hole,Drama,John Cameron Mitchell,2010,91,2221809,5000000,1582,40618,392,7
Jackass 3D,Action,Jeff Tremaine,2010,101,117224271,20000000,1787,47794,237,7.1
RED,Action,Robert Schwentke,2010,111,90356857,58000000,24928,238916,643,7.1
The Kids Are All Right,Comedy,Lisa Cholodenko,2010,106,20803237,3500000,18645,110616,614,7.1
Easy A,Comedy,Will Gluck,2010,92,58401464,8000000,16982,276746,526,7.1
8: The Mormon Proposition,Documentary,Reed Cowan,2010,80,99851,2500000,210,1138,58,7.1
Hesher,Drama,Spencer Susser,2010,106,382946,7000000,44969,43965,233,7.1
Secretariat,Biography,Randall Wallace,2010,123,59699513,35000000,2259,20827,296,7.2
Beginners,Comedy,Mike Mills,2010,105,5776314,3200000,2016,73349,403,7.2
It's Kind of a Funny Story,Comedy,Anna Boden,2010,101,6350058,8000000,2786,106098,313,7.2
Winter's Bone,Drama,Debra Granik,2010,100,6531491,2000000,34446,111658,662,7.2
Remember Me,Drama,Allen Coulter,2010,113,19057024,16000000,22088,113963,519,7.2
Megamind,Action,Tom McGrath,2010,95,148337537,130000000,46120,172754,420,7.3
The Next Three Days,Crime,Paul Haggis,2010,133,21129348,35000000,11799,146364,476,7.4
Blue Valentine,Drama,Derek Cianfrance,2010,112,9701559,3500000,35941,141425,660,7.4
Scott Pilgrim vs. the World,Action,Edgar Wright,2010,112,31494270,60000000,12687,273921,915,7.5
127 Hours,Adventure,Danny Boyle,2010,94,18329466,18000000,11984,279179,890,7.6
The Town,Crime,Ben Affleck,2010,150,92173235,37000000,14296,280228,798,7.6
True Grit,Adventure,Ethan Coen,2010,110,171031347,38000000,25964,240962,1217,7.7
Despicable Me,Animation,Pierre Coffin,2010,87,251501645,69000000,11608,385943,600,7.7
The Social Network,Biography,David Fincher,2010,120,96917897,40000000,10555,479453,1252,7.7
Flipped,Comedy,Rob Reiner,2010,90,1752214,14000000,4377,60460,191,7.7
Tangled,Adventure,Nathan Greno,2010,100,200807262,260000000,2036,294810,711,7.8
The Fighter,Biography,David O. Russell,2010,116,93571803,25000000,23811,275869,799,7.9
Black Swan,Drama,Darren Aronofsky,2010,108,106952327,13000000,38072,551363,1809,8
Shutter Island,Mystery,Martin Scorsese,2010,138,127968405,80000000,29585,786092,1454,8.1
How to Train Your Dragon,Adventure,Dean DeBlois,2010,98,217387997,165000000,20453,485430,780,8.2
Toy Story 3,Adventure,Lee Unkrich,2010,103,414984497,200000000,19085,544884,1186,8.3
Inception,Action,Christopher Nolan,2010,148,292568851,160000000,81115,1468200,3445,8.8
Justin Bieber: Never Say Never,Documentary,Jon M. Chu,2011,115,73000942,13000000,714,74351,317,1.6
Bucky Larson: Born to Be a Star,Comedy,Tom Brady,2011,97,2331318,10000000,2603,9541,113,3.3
Jack and Jill,Comedy,Dennis Dugan,2011,91,74158157,79000000,27405,60370,420,3.4
Spy Kids: All the Time in the World in 4D,Action,Robert Rodriguez,2011,89,38536376,27000000,4311,15866,159,3.6
Go for It!,Drama,Carmen Marron,2011,105,178739,2450000,1668,1015,18,3.9
Shark Night 3D,Horror,David R. Ellis,2011,90,18860403,25000000,4952,20823,361,4
Ghost Rider: Spirit of Vengeance,Action,Mark Neveldine,2011,96,51774002,57000000,16121,87745,618,4.3
In the Land of Blood and Honey,Drama,Angelina Jolie Pitt,2011,127,301305,13000000,796,31414,290,4.3
"Big Mommas: Like Father, Like Son",Action,John Whitesell,2011,113,37911876,32000000,3500,19671,135,4.4
Alvin and the Chipmunks: Chipwrecked,Adventure,Mike Mitchell,2011,87,133103929,75000000,4073,22838,147,4.4
Hoodwinked Too! Hood vs. Evil,Animation,Mike Disa,2011,86,10134754,30000000,5393,9682,115,4.8
The Roommate,Drama,Christian E. Christiansen,2011,91,37300107,16000000,5349,29147,253,4.8
The Darkest Hour,Action,Chris Gorak,2011,89,21426805,30000000,843,49312,406,4.9
I Don't Know How She Does It,Comedy,Douglas McGrath,2011,89,9639242,24000000,5470,16437,237,4.9
Abduction,Action,John Singleton,2011,106,28064226,35000000,561,65044,353,5
The Son of No One,Crime,Dito Montiel,2011,90,28870,15000000,32814,14280,103,5.1
Zookeeper,Comedy,Frank Coraci,2011,102,80360866,80000000,5392,44662,305,5.2
Apollo 18,Horror,Gonzalo Lopez-Gallego,2011,86,17683670,5000000,1520,47227,551,5.2
Salvation Boulevard,Action,George Ratliff,2011,96,27445,9000000,561,3788,79,5.3
The Dilemma,Comedy,Ron Howard,2011,111,48430355,70000000,18510,43709,326,5.3
Mars Needs Moms,Action,Simon Wells,2011,88,21379315,150000000,2652,17590,244,5.4
Prom,Comedy,Joe Nussbaum,2011,104,10106233,8000000,5190,12702,115,5.4
Glee: The 3D Concert Movie,Documentary,Kevin Tancharoen,2011,84,11860839,9000000,4617,5156,88,5.4
Red Riding Hood,Fantasy,Catherine Hardwicke,2011,100,37652565,42000000,15369,91151,574,5.4
Drive Angry,Action,Patrick Lussier,2011,104,10706786,50000000,16481,81800,507,5.5
Hop,Adventure,Tim Hill,2011,95,108012170,63000000,2558,24089,238,5.5
The Smurfs,Adventure,Raja Gosnell,2011,103,142614158,110000000,692,66593,325,5.5
The Innkeepers,Horror,Ti West,2011,101,77501,750000,1252,27260,539,5.5
Green Lantern,Action,Martin Campbell,2011,123,116593191,200000000,17657,223393,986,5.6
Your Highness,Adventure,David Gordon Green,2011,102,21557240,49900000,45202,85237,482,5.6
The FP,Comedy,Brandon Trost,2011,82,40557,60000,2046,1389,88,5.6
Beastly,Drama,Daniel Barnz,2011,86,27854896,17000000,17396,64190,277,5.6
Priest,Action,Scott Stewart,2011,87,29136626,60000000,1417,97089,458,5.7
L!fe Happens,Comedy,Kat Coiro,2011,100,20186,930000,2924,6025,33,5.7
Jumping the Broom,Comedy,Salim Akil,2011,112,37295394,6600000,5959,7973,111,5.7
Bad Teacher,Comedy,Jake Kasdan,2011,97,100292856,20000000,5547,160418,582,5.7
New Year's Eve,Comedy,Garry Marshall,2011,113,54540525,56000000,23456,66579,334,5.7
Straw Dogs,Action,Rod Lurie,2011,110,10324441,25000000,11431,27117,330,5.8
Battle Los Angeles,Action,Jonathan Liebesman,2011,116,83552429,70000000,4001,154955,1155,5.8
The Green Hornet,Action,Michel Gondry,2011,119,98780042,120000000,13391,136019,890,5.8
Paranormal Activity 3,Horror,Henry Joost,2011,94,104007828,5000000,2371,76828,565,5.8
Sanctum,Adventure,Alister Grierson,2011,108,23070045,30000000,3892,47003,459,5.9
Something Borrowed,Comedy,Luke Greenfield,2011,112,39026186,35000000,2371,48019,281,5.9
Hall Pass,Comedy,Bobby Farrelly,2011,111,45045037,36000000,3393,103230,380,5.9
Final Destination 5,Horror,Steven Quale,2011,92,42575718,40000000,3074,83788,504,5.9
What's Your Number?,Comedy,Mark Mylod,2011,117,13987482,20000000,15713,58957,242,6
Mr. Popper's Penguins,Comedy,Mark Waters,2011,94,68218041,55000000,2820,67191,297,6
The Rite,Drama,Mikael Hafstrom,2011,114,33037754,37000000,19904,75864,464,6
Dream House,Drama,Jim Sheridan,2011,84,21283440,55000000,8018,46239,311,6
I Am Number Four,Action,D.J. Caruso,2011,109,55092830,60000000,15608,195043,617,6.1
Immortals,Action,Tarsem Singh,2011,110,83503161,75000000,16691,138190,689,6.1
Sucker Punch,Action,Zack Snyder,2011,128,36381716,82000000,7067,197584,1353,6.1
Larry Crowne,Comedy,Tom Hanks,2011,98,35565975,30000000,16827,49205,402,6.1
Tower Heist,Action,Brett Ratner,2011,104,78009155,75000000,3768,110073,430,6.2
No Strings Attached,Comedy,Ivan Reitman,2011,108,70625986,25000000,22739,168717,423,6.2
The Big Year,Comedy,David Frankel,2011,100,7204138,41000000,2085,34809,233,6.2
Scream 4,Horror,Wes Craven,2011,111,38176892,40000000,4486,104119,938,6.2
Johnny English Reborn,Action,Oliver Parker,2011,101,8129455,45000000,661,89568,294,6.3
Transformers: Dark of the Moon,Action,Michael Bay,2011,154,352358779,195000000,2593,326180,1327,6.3
A Very Harold & Kumar 3D Christmas,Adventure,Todd Strauss-Schulson,2011,90,35033759,19000000,2462,55008,254,6.3
Cars 2,Adventure,John Lasseter,2011,106,191450875,200000000,4482,101178,587,6.3
Young Adult,Comedy,Jason Reitman,2011,94,16300302,12000000,10575,64682,528,6.3
Take Me Home Tonight,Comedy,Michael Dowse,2011,97,6923891,23000000,5519,43867,219,6.3
Our Idiot Brother,Comedy,Jesse Peretz,2011,90,24809547,5000000,15710,74875,294,6.4
Fright Night,Comedy,Craig Gillespie,2011,106,18298649,30000000,1393,85024,600,6.4
The Change-Up,Comedy,David Dobkin,2011,118,37035845,52000000,28045,136680,364,6.4
Just Go with It,Comedy,Dennis Dugan,2011,117,103028109,80000000,16325,172878,407,6.4
"Jeff, Who Lives at Home",Comedy,Jay Duplass,2011,83,4244155,10000000,3374,56005,294,6.5
The Hangover Part II,Comedy,Todd Phillips,2011,102,254455986,80000000,16143,375879,785,6.5
Margaret,Drama,Kenneth Lonergan,2011,186,46495,14000000,14638,12053,235,6.5
The Mechanic,Action,Simon West,2011,93,29113588,40000000,27834,117999,433,6.6
J. Edgar,Biography,Clint Eastwood,2011,137,37304950,35000000,36258,102728,671,6.6
Diary of a Wimpy Kid: Rodrick Rules,Comedy,David Bowers,2011,99,52691009,21000000,3567,18727,148,6.6
Friends with Benefits,Comedy,Will Gluck,2011,109,55802754,35000000,20956,270228,432,6.6
Contagion,Drama,Steven Soderbergh,2011,106,75638743,60000000,13634,180479,847,6.6
In Time,Action,Andrew Niccol,2011,109,37553932,40000000,34011,304318,823,6.7
Puss in Boots,Action,Chris Miller,2011,90,149234747,130000000,5046,114287,383,6.7
Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,2011,136,241063875,250000000,54083,370704,932,6.7
Killer Joe,Crime,William Friedkin,2011,98,1987762,11000000,11853,59297,592,6.7
Like Crazy,Drama,Drake Doremus,2011,90,3388210,250000,34983,46813,356,6.7
The Beaver,Drama,Jodie Foster,2011,91,958319,21000000,34705,39764,424,6.7
The Tree of Life,Drama,Terrence Malick,2011,139,13303319,32000000,13021,136367,1559,6.7
The Grey,Action,Joe Carnahan,2011,117,51533608,25000000,16606,203111,1163,6.8
Hanna,Action,Joe Wright,2011,111,40247512,30000000,257,159198,855,6.8
Machine Gun Preacher,Action,Marc Forster,2011,129,537580,30000000,19620,52972,258,6.8
Bernie,Comedy,Richard Linklater,2011,99,9203192,5000000,11328,45396,367,6.8
Bridesmaids,Comedy,Paul Feig,2011,131,169076745,32500000,3229,218711,856,6.8
Sholem Aleichem: Laughing in the Darkness,Documentary,Joseph Dorman,2011,93,906666,500000,660,154,34,6.8
Captain America: The First Avenger,Action,Joe Johnston,2011,124,176636816,140000000,19761,508818,1189,6.9
Extremely Loud & Incredibly Close,Adventure,Stephen Daldry,2011,129,31836745,40000000,15595,81298,624,6.9
Horrible Bosses,Comedy,Seth Gordon,2011,106,117528646,35000000,18669,353442,727,6.9
Dolphin Tale,Drama,Charles Martin Smith,2011,113,72279690,37000000,14209,17948,217,6.9
Water for Elephants,Drama,Francis Lawrence,2011,120,58700247,38000000,36062,95367,539,6.9
Thor,Action,Kenneth Branagh,2011,115,181015141,150000000,60059,536314,1254,7
Paul,Adventure,Greg Mottola,2011,109,37371385,40000000,390,192462,676,7
Rio,Adventure,Carlos Saldanha,2011,96,143618384,90000000,12071,165333,426,7
Another Earth,Drama,Mike Cahill,2011,92,1316074,100000,1303,71387,470,7
Courageous,Drama,Alex Kendrick,2011,129,34522221,2000000,2300,15401,209,7
One Day,Drama,Lone Scherfig,2011,107,13766014,15000000,17627,106111,402,7
Real Steel,Action,Shawn Levy,2011,127,85463309,110000000,22254,254841,753,7.1
The Muppets,Adventure,James Bobin,2011,103,88625922,45000000,1336,75176,650,7.1
Margin Call,Biography,J.C. Chandor,2011,107,5354039,3500000,22834,92599,515,7.1
Soul Surfer,Biography,Sean McNamara,2011,106,43853424,18000000,5024,35514,224,7.1
The Ides of March,Drama,George Clooney,2011,101,40962534,12500000,57077,188652,709,7.1
Super 8,Mystery,J.J. Abrams,2011,112,126975169,50000000,3388,287822,1388,7.1
The Adjustment Bureau,Romance,George Nolfi,2011,106,62453315,50200000,14607,200035,820,7.1
Rango,Adventure,Gore Verbinski,2011,107,123207194,135000000,43291,183208,699,7.2
A Better Life,Drama,Chris Weitz,2011,98,1754319,10000000,2214,13174,175,7.2
War Horse,Drama,Steven Spielberg,2011,146,79883359,66000000,46726,116159,876,7.2
Fast Five,Action,Justin Lin,2011,132,209805005,125000000,55345,284792,708,7.3
Kung Fu Panda 2,Action,Jennifer Yuh Nelson,2011,90,165230261,150000000,21015,182718,493,7.3
Winnie the Pooh,Adventure,Stephen J. Anderson,2011,63,26687172,30000000,1002,15600,217,7.3
The Descendants,Comedy,Alexander Payne,2011,115,82624961,20000000,9578,205284,988,7.3
The Lincoln Lawyer,Crime,Brad Furman,2011,118,57981889,40000000,13943,173848,477,7.3
The Adventures of Tintin,Action,Steven Spielberg,2011,107,77564037,135000000,4631,177383,887,7.4
Mission: Impossible - Ghost Protocol,Action,Brad Bird,2011,133,209364921,145000000,21768,365104,944,7.4
"Crazy, Stupid, Love.",Comedy,Glenn Ficarra,2011,118,84244877,50000000,57426,375456,602,7.4
Take Shelter,Drama,Jeff Nichols,2011,121,1729969,5000000,1520,68211,578,7.4
Sherlock Holmes: A Game of Shadows,Action,Guy Ritchie,2011,129,186830669,125000000,22403,338635,794,7.5
Hugo,Adventure,Martin Scorsese,2011,126,73820094,170000000,36017,245333,1360,7.5
Source Code,Mystery,Duncan Jones,2011,93,54696902,32000000,16034,379462,1093,7.5
Rise of the Planet of the Apes,Action,Rupert Wyatt,2011,105,176740650,93000000,13118,403836,1175,7.6
Moneyball,Biography,Bennett Miller,2011,133,75605492,50000000,53094,283563,731,7.6
50/50,Comedy,Jonathan Levine,2011,100,34963967,8000000,39807,270441,705,7.7
X-Men: First Class,Action,Matthew Vaughn,2011,132,146405371,160000000,50983,518537,1198,7.8
Drive,Crime,Nicolas Winding Refn,2011,100,35054909,15000000,34337,431578,1940,7.8
The Girl with the Dragon Tattoo,Crime,David Fincher,2011,158,102515793,90000000,20388,330152,1149,7.8
The Help,Drama,Tate Taylor,2011,146,169705587,25000000,23227,318955,833,8.1
Warrior,Drama,Gavin O'Connor,2011,140,13651662,25000000,29692,332276,831,8.2
Samsara,Documentary,Ron Fricke,2011,102,2601847,4000000,48,22457,184,8.5
The Apparition,Horror,Todd Lincoln,2012,83,4930798,17000000,730,16268,253,4.1
The Devil Inside,Horror,William Brent Bell,2012,83,53245055,1000000,988,30570,515,4.2
Detention of the Dead,Comedy,Alex Craig Mann,2012,87,1332,500000,2251,2038,49,4.6
Paranormal Activity 4,Horror,Henry Joost,2012,96,53884821,5000000,799,51204,495,4.6
Madea's Witness Protection,Comedy,Tyler Perry,2012,114,65623128,20000000,2753,7354,81,4.8
The Cold Light of Day,Action,Mabrouk El Mechri,2012,93,3749061,20000000,30134,28629,232,4.9
Chernobyl Diaries,Horror,Bradley Parker,2012,86,18112929,1000000,2665,52642,541,5
Alex Cross,Action,Rob Cohen,2012,101,25863915,35000000,2471,28257,362,5.1
Vamps,Comedy,Amy Heckerling,2012,92,2964,16000000,3086,7444,96,5.1
2016: Obama's America,Documentary,Dinesh D'Souza,2012,87,33349949,2500000,1111,9010,229,5.1
The Lords of Salem,Drama,Rob Zombie,2012,101,1163508,2500000,5158,20376,400,5.1
One for the Money,Action,Julie Anne Robinson,2012,91,26404753,40000000,3301,34203,296,5.3
Bachelorette,Comedy,Leslye Headland,2012,87,418268,3000000,8353,37156,285,5.3
Tim and Eric's Billion Dollar Movie,Comedy,Tim Heidecker,2012,93,200803,3000000,1467,7988,153,5.3
Spring Breakers,Crime,Harmony Korine,2012,94,14123773,5000000,12306,108683,1005,5.3
The Man with the Iron Fists,Action,RZA,2012,107,15608545,15000000,2377,53471,432,5.4
Fun Size,Adventure,Josh Schwartz,2012,86,9402410,14000000,3715,11233,109,5.4
Stolen,Action,Simon West,2012,96,183125,35000000,14978,36914,184,5.5
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Bill Condon,2012,115,292298923,120000000,59177,185394,651,5.5
Casa de mi Padre,Comedy,Matt Piedmont,2012,84,5895238,6000000,10123,17169,203,5.5
Atlas Shrugged II: The Strike,Drama,John Putch,2012,111,3333823,10000000,5262,5612,145,5.5
Hardflip,Action,Johnny Remo,2012,112,96734,1000000,263584,606,7,5.6
Mirror Mirror,Adventure,Tarsem Singh,2012,106,64933670,85000000,11454,70838,590,5.6
That's My Boy,Comedy,Sean Anders,2012,116,36931089,70000000,16484,70681,355,5.6
Bullet to the Head,Action,Walter Hill,2012,92,9483821,55000000,25418,39247,410,5.7
The Watch,Action,Akiva Schaffer,2012,102,34350553,68000000,2486,104072,472,5.7
The Watch,Action,Akiva Schaffer,2012,102,34350553,68000000,2488,104066,472,5.7
The Ghastly Love of Johnny X,Comedy,Paul Bunnell,2012,106,2436,2000000,1611,344,113,5.7
Joyful Noise,Comedy,Todd Graff,2012,118,30920167,25000000,3389,6476,169,5.7
Playing for Keeps,Comedy,Gabriele Muccino,2012,105,13101142,35000000,23122,23916,185,5.7
What to Expect When You're Expecting,Comedy,Kirk Jones,2012,110,41102171,40000000,13396,57266,259,5.7
Filly Brown,Drama,Youssef Delara,2012,80,2833383,427000,2459,910,27,5.7
Sparkle,Drama,Salim Akil,2012,116,24397469,17000000,5804,5161,130,5.7
Journey 2: The Mysterious Island,Action,Brad Peyton,2012,94,103812241,79000000,27842,67296,311,5.8
Wrath of the Titans,Action,Jonathan Liebesman,2012,99,83640426,150000000,16184,152826,563,5.8
The Guilt Trip,Comedy,Anne Fletcher,2012,95,37101011,40000000,1070,30394,250,5.8
Red Tails,Action,Anthony Hemingway,2012,125,49875589,58000000,4416,28807,417,5.9
Abraham Lincoln: Vampire Hunter,Action,Timur Bekmambetov,2012,105,37516013,69000000,8281,128629,741,5.9
Battleship,Action,Peter Berg,2012,131,65173160,209000000,26679,202382,1128,5.9
A Thousand Words,Comedy,Brian Robbins,2012,91,18438149,40000000,222,30842,163,5.9
Rock of Ages,Comedy,Adam Shankman,2012,136,38509342,75000000,712,61995,716,5.9
Katy Perry: Part of Me,Documentary,Dan Cutforth,2012,93,25240988,12000000,52,12383,118,5.9
The Possession,Horror,Ole Bornedal,2012,92,49122319,14000000,2348,47169,426,5.9
"For a Good Time, Call...",Comedy,Jamie Travis,2012,88,1243961,850000,3770,13421,149,6
Blue Like Jazz,Comedy,Steve Taylor,2012,108,594904,1200000,1805,2582,127,6
Hit and Run,Action,David Palmer,2012,100,13746550,2000000,15922,29322,280,6.1
The Collection,Action,Marcus Dunstan,2012,82,6842058,10000000,3818,36029,246,6.1
Snow White and the Huntsman,Action,Rupert Sanders,2012,132,155111815,170000000,72881,228554,1126,6.1
Magic Mike,Comedy,Steven Soderbergh,2012,110,113709992,7000000,46646,108843,605,6.1
Parental Guidance,Comedy,Andy Fickman,2012,105,77264926,25000000,5740,21176,246,6.1
The Five-Year Engagement,Comedy,Nicholas Stoller,2012,131,28644770,30000000,3479,78974,373,6.2
This Is 40,Comedy,Judd Apatow,2012,134,67523385,35000000,1050,104005,533,6.2
The Campaign,Comedy,Jay Roach,2012,85,86897182,95000000,9271,106790,432,6.2
Dark Shadows,Comedy,Tim Burton,2012,113,79711678,100000000,80849,199039,1005,6.2
Killing Them Softly,Crime,Andrew Dominik,2012,97,14938570,15000000,14025,111625,783,6.2
This Means War,Action,McG,2012,103,54758461,65000000,29808,147641,479,6.3
To Rome with Love,Comedy,Woody Allen,2012,112,16684352,17000000,1205,67893,438,6.3
Hope Springs,Comedy,David Frankel,2012,100,63536011,30000000,19420,34258,412,6.3
Deadfall,Crime,Stefan Ruzowitzky,2012,95,65804,12000000,27575,32512,248,6.3
